Batter,swings,takes,chase_swings,0-0_swings,take_1st_strike,ground_ball,line_drive,fly_ball,plate_appearances,Total Swing %,Chase %,0-0 Swing %,Take 1 Strike %,Ground Ball %,Line Drive %,Fly Ball %
"Schilleci, Victor",6,6,0,0,2,2,0,1,3,50.0,0.0,0.0,66.66666666666666,66.66666666666666,0.0,33.33333333333333
"O'Brien, Kieran",4,5,0,1,2,3,0,0,3,44.44444444444444,0.0,33.33333333333333,66.66666666666666,100.0,0.0,0.0
"Tonina, Frankie",5,4,0,2,0,2,1,0,3,55.55555555555556,0.0,66.66666666666666,0.0,66.66666666666666,33.33333333333333,0.0
"Pravato, Evan",3,2,0,1,0,2,0,0,2,60.0,0.0,50.0,0.0,100.0,0.0,0.0
"Somers, Eli",4,8,0,1,2,2,1,0,4,33.33333333333333,0.0,25.0,50.0,66.66666666666666,33.33333333333333,0.0
"DeRubertis, Liam",5,7,0,0,1,1,0,1,3,41.66666666666667,0.0,0.0,33.33333333333333,50.0,0.0,50.0
"Reichlin, Jack",5,9,0,0,1,1,0,0,3,35.714285714285715,0.0,0.0,33.33333333333333,100.0,0.0,0.0
"Sterling, Quinton",2,3,0,2,1,1,0,1,3,40.0,0.0,66.66666666666666,33.33333333333333,50.0,0.0,50.0
"Ching, Colby",2,11,0,0,2,0,0,1,3,15.384615384615385,0.0,0.0,66.66666666666666,0.0,0.0,100.0
"Tobio, Ben",2,0,0,1,0,0,0,1,1,100.0,0.0,100.0,0.0,0.0,0.0,100.0
"Krese, Chip",0,4,0,0,1,0,0,0,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0
