Pitcher,TaggedPitchType,PitchSharpness
"Appollina, Eddie",ChangeUp,70.2
"Appollina, Eddie",Fastball,51.52
"Appollina, Eddie",Slider,52.81
"Craig, Colby",ChangeUp,86.51
"Craig, Colby",Curveball,76.63
"Craig, Colby",Fastball,61.48
"Craig, Colby",Slider,78.18
"DeSimone, Alex",ChangeUp,109.87
"DeSimone, Alex",Curveball,111.55
"DeSimone, Alex",Fastball,35.97
"DeSimone, Alex",Slider,136.51
"Dianna, Trey",ChangeUp,79.27
"Dianna, Trey",Fastball,58.89
"Dianna, Trey",Slider,82.04
"Dianna, Trey",TwoSeamFastBall,58.07
"Kopera, Jack",ChangeUp,85.46
"Kopera, Jack",Curveball,116.27
"Kopera, Jack",Fastball,63.29
"Kopera, Jack",Slider,58.6
"Sabo, Evan",Fastball,65.64
"Sabo, Evan",Slider,110.66
"Sexton, Landon",ChangeUp,81.49
"Sexton, Landon",Curveball,85.02
"Sexton, Landon",Fastball,45.86
"Williams, Michael",ChangeUp,88.22
"Williams, Michael",Curveball,102.61
"Williams, Michael",Fastball,46.81
